"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP165679","SRR8052743","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427903: AD_028_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427903"
"SRP165679","SRR8052744","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427904: AD_029_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427904"
"SRP165679","SRR8052745","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427905: AD_029_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427905"
"SRP165679","SRR8052746","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427906: AD_030_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427906"
"SRP165679","SRR8052747","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427907: AD_030_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427907"
"SRP165679","SRR8052748","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427908: AD_031_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427908"
"SRP165679","SRR8052749","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427909: AD_031_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427909"
"SRP165679","SRR8052750","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427910: AD_032_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427910"
"SRP165679","SRR8052751","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427911: CTRL_002_healthy; Homo sapiens; RNA-Seq","skin type;;healthy|source_name;;skin biopsy","GEO Accession;;GSM3427911"
"SRP165679","SRR8052752","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427912: CTRL_003_healthy; Homo sapiens; RNA-Seq","skin type;;healthy|source_name;;skin biopsy","GEO Accession;;GSM3427912"
"SRP165679","SRR8052753","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427913: CTRL_004_healthy; Homo sapiens; RNA-Seq","skin type;;healthy|source_name;;skin biopsy","GEO Accession;;GSM3427913"
"SRP165679","SRR8052754","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427914: CTRL_006_healthy; Homo sapiens; RNA-Seq","skin type;;healthy|source_name;;skin biopsy","GEO Accession;;GSM3427914"
"SRP165679","SRR8052755","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427915: CTRL_008_healthy; Homo sapiens; RNA-Seq","skin type;;healthy|source_name;;skin biopsy","GEO Accession;;GSM3427915"
"SRP165679","SRR8052756","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427916: CTRL_009_healthy; Homo sapiens; RNA-Seq","skin type;;healthy|source_name;;skin biopsy","GEO Accession;;GSM3427916"
"SRP165679","SRR8052757","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427917: CTRL_010_healthy; Homo sapiens; RNA-Seq","skin type;;healthy|source_name;;skin biopsy","GEO Accession;;GSM3427917"
"SRP165679","SRR8052758","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427918: CTRL_011_healthy; Homo sapiens; RNA-Seq","skin type;;healthy|source_name;;skin biopsy","GEO Accession;;GSM3427918"
"SRP165679","SRR8052759","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427919: CTRL_013_healthy; Homo sapiens; RNA-Seq","skin type;;healthy|source_name;;skin biopsy","GEO Accession;;GSM3427919"
